Method	Functional Description
removePropertyChangeListener	删除PropertyChange事件的侦听器。
writeFloat	将 
               float值写入输出流，该值由四个字节组成。
nullsLast	返回一个空值友好的比较器， 
               null视为大于非null。
getLogWriter	检索此 
               DataSource对象的日志 
               DataSource 。
registerOutParameter	将序号位置 
               parameterIndex的OUT参数注册到JDBC类型 
               sqlType 。
evaluateExpression	评估指定上下文中的XPath表达式。
parse	使用特定格式化程序从文本字符串中获取 
               MonthDay的实例。
getRelatedNode	此定位器指向的节点，如果没有可用节点， 
               null 。
setStringPainted	设置字符串绘制属性的值，决定进度条是否应渲染进度字符串
getResolutionVariants	获取所有分辨率变体的可读列表。
setElemDouble	在第一个默认银行中设置给定双精度浮点数的请求数据数组元素
acceptEither	返回一个新的CompletionStage，当该或其他给定阶段正常完成时，将执行相应的结果作为所提供操作的参数。
hasDynamicLocaleList	返回可用区域设置列表在运行时是否可以更改
icSigLinkClass	ICC Profile Class Signature：'link'。
getPathBetweenRows	返回指定行之间（含）的路径
setLayout	为此JScrollPane设置布局管理器
removeElement	从模型中删除项目。
remapInstrument	重新制作乐器。
getFontTable	为指定的标签返回表格的一部分作为字节数组
getColumnMargin	返回每列中单元格之间的宽度。
functionNullableUnknown	指示是否允许 
               NULL值是未知的。
isValidYear	检查年份是否适用于本月。
accept	决定是接受还是过滤给定的目录条目。
createScrollPaneForTable	确定此对象是否可见
isElementContentWhitespace	返回此文本节点是否包含 
               element content whitespace ，通常被称为“可忽略的空格”。
icSigSpace2CLR	ICC配置文件颜色空间类型签名：'2CLR'。
getValueIsAdjusting	如果对value属性的当前更改是一系列更改的一部分，则返回true。
writeBlob	将SQL 
               BLOB值写入流。
getScrollableTracksViewportWidth	如果视口应始终强制此 
               Scrollable的宽度与视口的宽度匹配，则返回true。
removeAll	从选项卡窗格中移除所有选项卡及其对应的组件
resolveVariable	在可用变量集中查找变量。
addConsumer	注册 
               ImageConsumer和 
               ImageProducer ，以便在以后重建 
               Image期间访问图像数据。
valueChanged	只要选择的值发生变化，就会调用。
range	获取指定字段的有效值范围。
peek	检索但不删除此队列的头部，如果此队列为空，则返回 
               null 。
importedKeyNotDeferrable	表示可推迟性。
getLoginTimeout	获取此数据源在尝试连接到数据库时可以等待的最长时间（以秒为单位）。
tileUpdate	一块瓷砖即将更新（它要么被抓取用于写入，要么正在从写入中释放）。
icSigChromaticityTag	ICC配置文件标记签名：'chrm'。
getMaximum	返回进度值的最大值
withZoneSameLocal	使用不同的时区返回此日期时间的副本，如果可能，保留本地日期时间。
stateChanged	当侦听器的目标已更改其状态时调用。
write	如上所述在 
               LSSerializer接口的一般描述中序列化指定的节点。
or	返回一个组合谓词，表示此谓词与另一个谓词的短路逻辑OR。
icTagReserved	ICC配置文件常量：保留。
setIconImage	为这个窗口设置要显示为图标的图像
length	字符内容序列的当前长度。
releaseService	该方法由 
               BeanContextServices调用，释放嵌套的 
               BeanContextChild （或与 
               BeanContextChild相关联的任意对象）对指定服务的引用。
canRedo	如果可以重做此编辑，则返回true。
alternateParentTag	如果未找到parentTag，则在文档中检查备用标记。
setCharacterStream	将指定参数设置为给定的 
               Reader对象，该对象是给定的字符长度。
capture	将捕获转换应用于类型。
withFixedOffsetZone	返回此日期时间的副本，并将区域ID设置为偏移量。
rendererPane	CellRendererPane的实例。
getValue	返回用户选择的值
getRgb	返回指定像素的颜色/alpha组分，在默认rgb颜色模型格式中
hashCode	返回此缓冲区的当前哈希码。
asReadOnlyBuffer	创建一个共享此缓冲区内容的新的只读char缓冲区。
getDeclaredType	返回与type元素和实际类型参数对应的类型。
characters	接收字符数据的通知。
readObject	读取流中的下一个属性并将其作为 
               Object以Java编程语言返回。
setObject	使用给定对象设置指定参数的值。
allocate	分配一个新的双缓冲区。
getBinaryStream	返回 
               InputStream对象，该对象包含部分 
               Blob值，以pos指定的字节开头，长度为length个字节。
clear	清除此缓冲区。
getMaximum	返回模型的最大值。
hashCode	返回此 
               RowId对象的哈希码值。
getKind	返回此指令的 
               kind 。
createResource	创建用于写入的新辅助资源文件，并为其返回文件对象。
setEnabled	启用或禁用菜单项
acceptEitherAsync	返回一个新的CompletionStage，当该阶段或其他给定阶段正常完成时，使用此阶段的默认异步执行工具执行，并将相应的结果作为所提供操作的参数。
getResources	提取声音库中包含的非乐器资源列表。
getExtendsBound	返回此通配符的上限。
setUsername	将此 
               RowSet对象的username属性设置为给定的 
               String 。
valueChanged	只要选择的值发生变化，就会调用。
selectAll	让编辑开始编辑并选择所有内容
activate	已过时。
setLayeredPane	管理contentPane的Container，在某些情况下还包含菜单栏。
getRowBounds	返回指定行的节点绘制的矩形
compareTo	比较此缓冲区与另一个缓冲区。
hideWindows	关闭或隐藏此输入法实例或其类打开的所有窗口。
processKeyEvent	处理键事件
getUi	返回菜单栏的当前UI
columnAdded	告诉侦听器已将列添加到模型中。
getInsertPositionOffset	获取文本编辑组件中包含的已提交文本中插入位置的偏移量。
getDescriptor	返回由此堆栈帧表示的方法的 
               描述符 ，由 
               The Java Virtual Machine Specification定义。
getName	返回此打印服务的字符串名称，应用程序可以使用该名称来请求特定的打印服务。
get	返回此映射将指定键映射到的值。
getTransformer	获取与此处理程序关联的 
               Transformer ，这是设置参数和输出属性所必需的。
getInt	以Java编程语言中 
               int检索指定的JDBC 
               INTEGER参数的值。
isCurrent	确定此 
               Object是否为最新。
removeAttribute	按名称删除属性。
getOriginal	检索 
               ResultSet含有该原始值对象 
               RowSet对象。
getMinTileY	返回Y方向上的最小tile索引。
getMinTileX	返回X方向上的最小tile索引。
hasAttribute	返回 
               true在此元素上被指定给定名称的属性或具有默认值， 
               false否则。
addActionListener	将 
               ActionListener添加到模型中。
getElement	返回表示的元素。
last	返回此集合中当前的最后一个（最高）元素。
parse	解析XML文档。
setAsciiStream	将指定参数设置为给定输入流，该输入流将具有指定的字节数。
setString	将此SQLXML实例指定的XML值设置为给定的String表示形式。
